,station_cd,station_g_cd,station_name,station_name_k,station_name_i,line_cd,add,lon,lat,e_sort
1263,1130101,1130101,東京,とうきょう,と,11301,東京都千代田区丸の内一丁目,139.766103,35.681391,1130101
1264,1130102,1130102,新橋,しんばし,し,11301,東京都港区新橋二丁目17,139.758587,35.666195,1130102
1265,1130103,1130103,品川,しながわ,し,11301,東京都港区高輪三丁目26-27,139.738999,35.62876,1130103
1284,1130201,1130201,大崎,おおさき,お,11302,東京都品川区大崎一丁目21-4,139.728439,35.619772,1130201
1285,1130202,1130202,五反田,ごたんだ,ご,11302,東京都品川区東五反田一丁目26,139.723822,35.625974,1130202
1286,1130203,1130203,目黒,めぐろ,め,11302,東京都品川区上大崎二丁目16-9,139.715775,35.633923,1130203
1287,1130204,1130204,恵比寿,えびす,え,11302,東京都渋谷区恵比寿南一丁目5-5,139.71007,35.646685,1130204
1288,1130205,1130205,渋谷,しぶや,し,11302,東京都渋谷区道玄坂一丁目1-1,139.701238,35.658871,1130205
1289,1130206,1130206,原宿,はらじゅく,は,11302,東京都渋谷区神宮前一丁目18,139.702592,35.670646,1130206
1290,1130207,1130207,代々木,よよぎ,よ,11302,東京都渋谷区代々木一丁目34-1,139.702042,35.683061,1130207
1291,1130208,1130208,新宿,しんじゅく,し,11302,東京都新宿区新宿三丁目38-1,139.700464,35.689729,1130208
1292,1130209,1130209,新大久保,しんおおくぼ,し,11302,東京都新宿区百人町一丁目10-15,139.700261,35.700875,1130209
1293,1130210,1130210,高田馬場,たかだのばば,た,11302,東京都新宿区高田馬場一丁目35-1,139.703715,35.712677,1130210
1294,1130211,1130211,目白,めじろ,め,11302,東京都豊島区目白三丁目3-1,139.706228,35.720476,1130211
1295,1130212,1130212,池袋,いけぶくろ,い,11302,東京都豊島区南池袋一丁目28-2,139.711086,35.730256,1130212
1296,1130213,1130213,大塚,おおつか,お,11302,東京都豊島区南大塚三丁目33-1,139.728584,35.731412,1130213
1297,1130214,1130214,巣鴨,すがも,す,11302,東京都豊島区巣鴨一丁目16-1,139.739303,35.733445,1130214
1298,1130215,1130215,駒込,こまごめ,こ,11302,東京都豊島区駒込二丁目1-1,139.748053,35.736825,1130215
1299,1130216,1130216,田端,たばた,た,11302,東京都北区東田端一丁目17-1,139.761229,35.737781,1130216
1300,1130217,1130217,西日暮里,にしにっぽり,に,11302,東京都荒川区西日暮里五丁目22-1,139.766857,35.731954,1130217
